Código modular;Código de institución;Nombre de IE;Nivel / Modalidad;Tipo de Gestión;Dependencia;Director;Estado;Dirección de IE;Provincia;Distrito;Tipo de programa;Turno;Alumnos (Censo educativo);Docentes (Censo educativo);Secciones (Censo educativo)
1242130;21434851;ELVIRA GARCIA Y GARCIA;Secundaria;Privada;Particular;TAFUR ZEVALLOS RINA EUDOMILIA;Activo;CALLE PEDRO GAREZON 2083;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;144;12;7
1242171;21347167;SAN ROQUE DE SAN DIEGO;Secundaria;Privada;Particular;LEON HIDALGO MELCA JOSEFINA;Activo;JIRON SANTA SOFIA MZ A2 LOTE 04 Y 05;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;28;4;5
1241256;21339407;LICEO SAN AGUSTIN;Secundaria;Privada;Particular;GUEVARA LIMAY JOSE ABDIAS;Activo;MZ B LOTE 1,2,3,4,5,;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;383;21;18
1240894;22359436;PABLO PICASSO;Secundaria;Privada;Particular;TOLEDO HUAYTA JOHN ALEX;Activo;JIRON SANTA CAROLINA 473;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;117;8;5
1240696;21262749;SAN IGNACIO DE LOYOLA;Secundaria;Privada;Particular;ESCUDERO CALDAS CARMEN ROSA;Activo;MZ L LOTE 1-5;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;142;6;5
1241454;21551252;SAN JOSE DE CLUNY;Secundaria;Privada;Particular;GAMARRA MINAYA MARIA DOLORES;Activo;MZ D LOTE 4 SECTOR APROVISAR;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;89;12;5
1224344;21429902;WALT WHITMAN;Secundaria;Privada;Particular;GALARRETA VERA CARLOS;Activo;MZ F LOTE 21-23;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;68;7;5
0915256;21341460;2031 VIRGEN DE FATIMA;Secundaria;Pública de gestión directa;Sector Educación;FLORES FARFAN RAYMUNDO LUIS;Activo;VIRGEN DE FATIMA;Lima;San Martín de Porres;No aplica;Continuo sólo en la tarde;370;20;11
0732321;21359602;EL PACIFICO;Secundaria;Pública de gestión directa;Sector Educación;VEGAS PALOMINO JUAN CARLOS;Activo;CALLE TOBIAS MEYER;Lima;San Martín de Porres;No aplica;Continuo mañana y tarde;787;44;28
0566489;25641361;3022 JOSE SABOGAL;Secundaria;Pública de gestión directa;Sector Educación;RODRIGUEZ ROJAS ROSA MONICA;Activo;AVENIDA JUAN XXIII 379;Lima;San Martín de Porres;No aplica;Continuo mañana y tarde;478;26;17
0581900;;3041 ANDRES BELLO;Secundaria;Pública de gestión directa;Sector Educación;KETTY PALMIR ZARATE ALIAGA;Activo;AVENIDA MARIANO IGNACIO PRADO 3199;Lima;San Martín de Porres;No aplica;Continuo mañana y tarde;588;34;22
0598581;21359033;2003 LIBERTADOR JOSE DE SAN MARTIN;Secundaria;Pública de gestión directa;Sector Educación;LOPEZ PONTE TOBIAS JULIO;Activo;MZ B LOTE 14;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;430;30;16
0884544;25288671;3032 VILLA ANGELICA;Secundaria;Pública de gestión directa;Sector Educación;PADILLA RODRIGUEZ SIXTO GUILLERMO;Activo;JIRON BELLO HORIZONTE 2323;Lima;San Martín de Porres;No aplica;Continuo sólo en la tarde;345;18;11
0437368;21359866;SAN MARTIN DE PORRES;Secundaria;Pública de gestión directa;Sector Educación;LEON JACINTO KETTY;Activo;JIRON ANTON SANCHEZ 108;Lima;San Martín de Porres;No aplica;Continuo sólo en la tarde;355;23;14
0663120;22161172;2088 REPUBLICA FEDERAL DE ALEMANIA;Secundaria;Pública de gestión directa;Sector Educación;CUPE CABEZAS JAIME;Activo;AVENIDA TANTAMAYO;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;438;34;15
0437715;;2023 AUGUSTO SALAZAR BONDY;Secundaria;Pública de gestión directa;Sector Educación;VALDIVIEZO VALDIVIEZO CARMEN JANETTE;Activo;AVENIDA PERU 1997;Lima;San Martín de Porres;No aplica;Continuo sólo en la tarde;975;44;31
0649673;;3024 JOSE ANTONIO ENCINAS;Secundaria;Pública de gestión directa;Sector Educación;QUIROZ PRADO CARMEN ALICIA;Activo;JIRON SAN MARTIN 215;Lima;San Martín de Porres;No aplica;Continuo mañana y tarde;334;20;12
0495150;;2079 ANTONIO RAIMONDI;Secundaria;Pública de gestión directa;Sector Educación;CHAVEZ TITO CARLOS WILLY;Activo;JIRON SAN BERNARDO S/N;Lima;San Martín de Porres;No aplica;Continuo sólo en la tarde;403;20;12
0884536;22267442;3027 CORONEL JOSE BALTA;Secundaria;Pública de gestión directa;Sector Educación;SOTO BRINGAS MARIA ROSA;Activo;JIRON MACCHUPICCHU CUADRA 8 S/N;Lima;San Martín de Porres;No aplica;Continuo mañana y tarde;420;26;16
0495812;;3045 JOSE CARLOS MARIATEGUI;Secundaria;Pública de gestión directa;Sector Educación;BEDOYA OSORIO LILY ROSANA;Activo;JIRON MARIA PARADO DE BELLIDO S/N;Lima;San Martín de Porres;No aplica;Continuo mañana y tarde;722;38;24
0581892;;3039 JAVIER HERAUD;Secundaria;Pública de gestión directa;Sector Educación;LOZANO BUENDIA MADELEINE ELIZABETH;Activo;JIRON PACASMAYO CUADRA 39;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;320;28;11
0764936;21358533;LOS JAZMINES DEL NARANJAL;Secundaria;Pública de gestión directa;Sector Educación;MEDINA SALAZAR FELIX;Activo;CALLE ALMENDRAS S/N;Lima;San Martín de Porres;No aplica;Continuo mañana y tarde;1291;62;39
0884510;22264885;2026 SAN DIEGO;Secundaria;Pública de gestión directa;Sector Educación;LOAYZA CONDORI MARCO ANTONIO;Activo;MZ B ETAPA II;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;661;32;20
0566422;25389816;2027 JOSE MARIA ARGUEDAS;Secundaria;Pública de gestión directa;Sector Educación;LLAMACPONCCA RAVELO ZENON;Activo;JIRON ALHELI 1165;Lima;San Martín de Porres;No aplica;Continuo mañana y tarde;699;37;23
0437400;21360181;0051 CLORINDA MATTO DE TURNER;Secundaria;Pública de gestión directa;Sector Educación;MOREAU MONCADA PATRICIA ANGELICA;Activo;JIRON JOSE LARREA Y LAREDO 498;Lima;San Martín de Porres;No aplica;Continuo mañana y tarde;600;47;24
0566430;22508016;2029 SIMON BOLIVAR;Secundaria;Pública de gestión directa;Sector Educación;CHAVEZ CRUZADO SEGUNDO MARTIN;Activo;JIRON SANTA CLORINDA 1101;Lima;San Martín de Porres;No aplica;Continuo sólo en la tarde;541;29;18
0581876;;3037 GRAN AMAUTA;Secundaria;Pública de gestión directa;Sector Educación;MEZA ZAVALA IVAN RONALD;Activo;AVENIDA PERU 3500;Lima;San Martín de Porres;No aplica;Continuo mañana y tarde;1018;57;36
0566448;;2070 NUESTRA SEÑORA DEL CARMEN;Secundaria;Pública de gestión directa;Sector Educación;SOTO COSTA CARLOS MIGUEL;Activo;AVENIDA LOS ALISOS CUADRA 3;Lima;San Martín de Porres;No aplica;Continuo sólo en la tarde;483;27;16
0437285;21348491;ISABEL CHIMPU OCLLO;Secundaria;Pública de gestión directa;Sector Educación;ALVAREZ CASTILLO LUZ IRENE;Activo;JIRON HUARAZ 882;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;903;73;34
